state_name,species_code,common_name,scientific_name,percent_pop_breeding,percent_pop_postbreeding_migration,percent_pop_nonbreeding,percent_pop_prebreeding_migration,max_week_season,max_week,max_week_percent_pop,state_rank_breeding,breeding_habitat_primary,breeding_habitat_secondary
Washington,daejun,Dark-eyed Junco,Junco hyemalis,2.28,2.98,3.25,2.55,prebreeding_migration,03-15,4.672,4 of 26,Forests:  Temperate Generalist,NA
Washington,doccor,Double-crested Cormorant,Nannopterum auritum,1.2,0.9,0.75,0.93,postbreeding_migration,09-13,1.675,12 of 48,Wetlands:  Generalist,Coasts:  Beach and Estuary
Washington,dowwoo,Downy Woodpecker,Dryobates pubescens,0.55,0.55,0.55,0.55,resident,year round resident,NA,34 of 50,Forests:  Temperate Generalist,NA
Washington,dunlin,Dunlin,Calidris alpina,0,1.81,4.67,1.68,nonbreeding,01-04,7.214,NA,Wetlands:  Tundra,Coasts:  Tundra
Washington,dusfly,Dusky Flycatcher,Empidonax oberholseri,3.28,2.74,0,3.66,prebreeding_migration,05-03,7.152,9 of 12,Forests:  Temperate Western,NA
Washington,dusgro,Dusky Grouse,Dendragapus obscurus,3.59,3.59,3.59,3.59,resident,year round resident,NA,6 of 10,Forests:  Temperate Western,NA
Washington,eargre,Eared Grebe,Podiceps nigricollis,0.05,0.05,0.05,0.02,postbreeding_migration,11-08,0.1456,14 of 16,Wetlands:  Freshwater Marsh,NA
Washington,easkin,Eastern Kingbird,Tyrannus tyrannus,1.15,0.59,0,0.21,postbreeding_migration,08-09,1.436,27 of 45,Open Country:  Habitat Mosaic,Grasslands:  Temperate
Washington,eucdov,Eurasian Collared-Dove,Streptopelia decaocto,0.12,0.12,0.12,0.12,resident,year round resident,NA,8 of 25,Open Country:  Developed/Disturbed,NA
Washington,eursta,European Starling,Sturnus vulgaris,0.4,0.45,0.54,0.59,nonbreeding,12-20,0.8065,8 of 48,Open Country:  Developed/Disturbed,NA
Washington,eurwig,Eurasian Wigeon,Mareca penelope,0,NA,0.01,NA,nonbreeding,01-04,0.01046,NA,Wetlands:  Freshwater Marsh,NA
Washington,evegro,Evening Grosbeak,Coccothraustes vespertinus,10.53,4.28,0.65,6.62,postbreeding_migration,09-13,17.46,1 of 17,Forests:  Boreal,Forests:  Temperate Western
Washington,ferhaw,Ferruginous Hawk,Buteo regalis,0.84,0,0.03,0.46,breeding,06-14,1.759,11 of 16,Grasslands:  Temperate,NA
Washington,flaowl,Flammulated Owl,Psiloscops flammeolus,5.46,0,0,10.37,prebreeding_migration,05-24,16.24,6 of 12,Forests:  Temperate Western,Forests:  Mesoamerican Pine-Oak
Washington,forter,Forster's Tern,Sterna forsteri,0.7,0.12,0,0.18,breeding,07-05,0.8952,19 of 36,Wetlands:  Freshwater Marsh,NA
Washington,foxspa,Fox Sparrow,Passerella iliaca,0.19,2.53,4.48,0.57,postbreeding_migration,09-20,9.429,8 of 11,Forests:  Boreal,Forests:  Temperate Western
Washington,gadwal,Gadwall,Mareca strepera,0.44,0.11,0.15,0.22,postbreeding_migration,08-16,0.7114,8 of 19,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh
Washington,gcrfin,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,0.56,3.39,3.74,1.45,nonbreeding,12-13,8.261,3 of 5,Tundra:  Alpine,NA
Washington,glwgul,Glaucous-winged Gull,Larus glaucescens,2.97,1.59,2.38,1.27,postbreeding_migration,07-05,3.859,2 of 4,Coasts:  Cliffs and Islands,Coasts:  Marine Waters
Washington,gnttow,Green-tailed Towhee,Pipilo chlorurus,0.02,0,0,0,breeding,07-12,0.02414,11 of 11,Aridlands:  Sagebrush,NA
Washington,gnwtea,Green-winged Teal,Anas crecca,0.07,0.12,0.12,0.19,prebreeding_migration,03-29,0.653,7 of 18,Wetlands:  Generalist,NA
Washington,gockin,Golden-crowned Kinglet,Regulus satrapa,3.43,5.42,8.42,4.92,nonbreeding,02-22,9.504,2 of 27,Forests:  Boreal,Forests:  Temperate Western
Washington,gocspa,Golden-crowned Sparrow,Zonotrichia atricapilla,0,9.82,6.8,2.3,postbreeding_migration,09-20,24.68,NA,Tundra:  Alpine,Forests:  Temperate Western
Washington,goleag,Golden Eagle,Aquila chrysaetos,0.15,0.27,0.39,0.19,nonbreeding,01-18,0.6056,13 of 16,Open Country:  Habitat Mosaic,NA
Washington,graspa,Grasshopper Sparrow,Ammodramus savannarum,0.64,0.29,0,0.77,prebreeding_migration,05-10,1.661,14 of 40,Grasslands:  Temperate,NA
Washington,grbher3,Great Blue Heron,Ardea herodias,1.13,1.11,1.12,1.05,prebreeding_migration,03-01,1.411,27 of 49,Wetlands:  Generalist,Coasts:  Saltmarsh
Washington,greegr,Great Egret,Ardea alba,0.01,0.01,0,0,breeding,06-21,0.01848,38 of 38,Wetlands:  Generalist,Coasts:  Saltmarsh
Washington,gresca,Greater Scaup,Aythya marila,0.01,3,3.33,0.99,postbreeding_migration,11-22,4.797,3 of 3,Wetlands:  Tundra,NA
Washington,greyel,Greater Yellowlegs,Tringa melanoleuca,0,0.1,0.08,0.19,prebreeding_migration,04-12,0.8145,NA,Wetlands:  Boreal,NA
Washington,grhowl,Great Horned Owl,Bubo virginianus,1.65,1.65,1.65,1.65,resident,year round resident,NA,16 of 49,Open Country:  Habitat Mosaic,NA
Washington,grnher,Green Heron,Butorides virescens,0.01,0.01,0,0.01,breeding,08-23,0.02195,42 of 42,Wetlands:  Freshwater Marsh,NA
Washington,grycat,Gray Catbird,Dumetella carolinensis,0.84,0.3,0,0.17,breeding,07-05,0.9095,26 of 46,Forests:  Temperate Eastern,Forests:  Temperate Western
Washington,gryfly,Gray Flycatcher,Empidonax wrightii,1.03,0.65,0,0.85,postbreeding_migration,07-26,2.498,10 of 12,Forests:  Temperate Western,NA
Washington,gryjay,Canada Jay,Perisoreus canadensis,0.75,0.75,0.75,0.75,resident,year round resident,NA,2 of 17,Forests:  Boreal,Forests:  Temperate Western
Washington,grypar,Gray Partridge,Perdix perdix,0.63,0.63,0.63,0.63,resident,year round resident,NA,4 of 11,Open Country:  Developed/Disturbed,NA
Washington,gwfgoo,Greater White-fronted Goose,Anser albifrons,0,0.01,0,0.02,postbreeding_migration,09-27,0.242,NA,Wetlands:  Tundra,NA
Washington,haiwoo,Hairy Woodpecker,Dryobates villosus,1.67,1.67,1.67,1.67,resident,year round resident,NA,11 of 49,Forests:  Generalist,NA
Washington,hamfly,Hammond's Flycatcher,Empidonax hammondii,7.98,6.37,0,7.61,postbreeding_migration,08-23,18.97,3 of 11,Forests:  Temperate Western,NA
Washington,harduc,Harlequin Duck,Histrionicus histrionicus,0.24,1.24,0.5,1.22,postbreeding_migration,11-15,2.772,2 of 2,Wetlands:  Lakes and Rivers,Coasts:  Beach and Estuary
Washington,heegul,Heermann's Gull,Larus heermanni,0,21.7,20.34,0.88,postbreeding_migration,08-09,39.02,NA,Coasts:  Beach and Estuary,Coasts:  Marine Waters
Washington,hergul,Herring Gull,Larus argentatus,0,0.01,0.05,0,nonbreeding,02-01,0.06392,NA,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers
Washington,herthr,Hermit Thrush,Catharus guttatus,1.19,1.36,0.28,0.73,postbreeding_migration,09-20,3.656,3 of 27,Forests:  Temperate Generalist,NA
Washington,herwar,Hermit Warbler,Setophaga occidentalis,9.78,1.54,0,5.34,breeding,07-05,11.6,3 of 4,Forests:  Temperate Western,NA
Washington,hoomer,Hooded Merganser,Lophodytes cucullatus,0.54,1.39,3.46,1.64,postbreeding_migration,12-13,3.75,8 of 29,Wetlands:  Forested,Wetlands:  Lakes and Rivers
Washington,horgre,Horned Grebe,Podiceps auritus,0,7.47,10.9,2.51,nonbreeding,02-01,15.22,NA,Wetlands:  Freshwater Marsh,NA
Washington,horlar,Horned Lark,Eremophila alpestris,0.56,0.49,1.49,1.22,prebreeding_migration,02-22,3.09,17 of 37,Grasslands:  Temperate,Tundra:  Arctic
Washington,houfin,House Finch,Haemorhous mexicanus,1.94,1.94,1.94,1.94,resident,year round resident,NA,6 of 49,Open Country:  Habitat Mosaic,Aridlands:  Desert Scrub
Washington,houspa,House Sparrow,Passer domesticus,0.06,0.06,0.06,0.06,resident,year round resident,NA,18 of 39,Open Country:  Developed/Disturbed,NA
Washington,houwre,House Wren,Troglodytes aedon,0.74,0.12,0,0.31,breeding,07-05,0.843,15 of 42,Forests:  Generalist,Open Country:  Developed/Disturbed
